Symbol/ISIN,Security ID,indicator_id
LU0079474960,137979,371
LU0157308031,137980,371
LU0328307730,137981,371
LU0861579265,137982,371
LU1548497426,137983,371
LU1740659690,137984,371
LU0158827948,137985,371
LU1479563717,137986,371
LU1200839618,137987,371
LU0679940949,137988,371
LU1564329032,137989,371
LU0562822386,137990,371
LU0072462426,137991,371
LU0784385840,137992,371
LU0046676465,137993,371
LU0106831901,137994,371
LU0122379950,137995,371
LU1165135440,137996,371
IE00BF5GRB76,137997,371
LU1313547462,137998,371
LU0119124781,137999,371
LU0982800491,138000,371
LU0905233846,138001,371
LU0109392836,138002,371
LU1093756168,138003,371
IE00BLSP4122,138004,371
SGXZ83598466,138005,371
SGXZ46560496,138006,371
SGXZ28681005,138007,371
SG9999008932,138008,371
SG9999006225,138009,371
LU0704905362,138010,371
LU1255010958,138011,371
LU1041599405,138012,371
LU0235639324,138013,371
LU0395794307,138014,371
LU0095938881,138015,371
LU0853555380,138016,371
LU1935355344,138017,371
LU1850216372,138018,371
IE00BMPRXN33,138019,371
IE00B986J944,138020,371
IE00B7BTH691,138021,371
LU1939255532,138022,371
IE00B7KFL990,138023,371
HK0000081841,138024,371
LU0626906662,138025,371
LU0067412154,138026,371
LU1807302812,138027,371
SG9999002042,138028,371
SG9999000426,138029,371
SG9999000442,138030,371
SG9999001663,138031,371
LU0633140560,138032,371
LU0539801802,138033,371
LU0683600562,138034,371
LU0348788117,138035,371
LU0414045822,138036,371
LU0689472784,138037,371
LU1322973634,138038,371
LU0821914370,138039,371
LU0011850392,138040,371
LU0047713382,138041,371
LU0278470058,138042,371
LU0494093205,138043,371
LU0072463663,138044,371
LU0054578231,138045,371
LU0122376428,138046,371
LU0055631609,138047,371
LU0075056555,138048,371
LU0823428932,138049,371
SG9999002851,138050,371
LU0048573561,138051,371
LU0048573645,138052,371
LU0054237671,138053,371
LU0650527681,138054,371
LU0173614495,138055,371
LU0303816028,138056,371
LU0048575426,138057,371
LU0088814487,138058,371
LU0048579097,138059,371
LU0052588471,138060,371
LU0048580004,138061,371
LU0048580855,138062,371
LU0048581077,138063,371
LU0055114457,138064,371
LU0050427557,138066,371
LU0048587868,138067,371
LU0049112450,138068,371
LU0048588163,138069,371
SG9999002067,138070,371
SG9999005300,138071,371
SG9999002083,138072,371
SG9999000194,138073,371
SG9999000186,138074,371
SG9999000202,138075,371
LU0109394709,138076,371
LU0231203729,138077,371
LU0300737037,138078,371
LU0109391861,138079,371
LU0029875118,138080,371
LU0078277505,138081,371
LU0029876355,138082,371
LU0029874905,138083,371
LU0029871042,138084,371
LU0170475312,138085,371
LU0029865408,138086,371
LU0234573003,138087,371
LU0820775533,138088,371
LU0969268043,138089,371
LU0260085492,138090,371
SG9999015754,138091,371
IE00BK4YYX88,138092,371
IE00BGR6TZ09,138093,371
IE00BFRSV866,138094,371
IE00B0M2Y900,138095,371
IE00B11XZ871,138096,371
SG9999001846,138097,371
SG9999000327,138098,371
SG9999007991,138099,371
SG9999006852,138100,371
LU0106250508,138101,371
LU0955623706,138102,371
LU0188438112,138103,371
LU0106817157,138104,371
LU0106253197,138105,371
LU0106236267,138106,371
LU0302445910,138107,371
LU0106258311,138108,371
LU0757359368,138109,371
LU0314587907,138110,371
LU0201322137,138111,371
SG9999000277,138112,371
SG9999000343,138113,371
LU1226288097,138114,371
SG9999001135,138115,371
SG9999001234,138116,371
SG9999001176,138117,371
SG9999014880,138118,371
SG9999001143,138119,371
SG9999001382,138120,371
SGXZ44708527,138121,371
LU0056508442,138122,371
LU0171284937,138123,371
LU0772969993,138124,371
LU0063729296,138125,371
LU0333810181,138126,371
LU0243957239,138127,371
LU0052864419,138128,371
LU0124675678,138129,371
IE00B8J38129,138130,371
LU1713307426,138131,371
LU0187077481,138132,371
LU1725199209,138133,371
LU1127386735,138134,371
LU0174119429,138135,371
LU1669035997,138136,371
LU0143551892,138137,371
LU1992135399,138138,371
IE00BBT3JP45,138139,371
LU1983299246,138140,371
LU0823414635,138141,371
LU0859254822,138142,371
LU0156897901,138143,371
LU0853555463,138144,371
LU1847653224,138145,371
LU0258954014,138146,371
LU1084869962,138147,371
LU1806347388,138148,371
IE00BD5DFJ88,138149,371
IE00BRJT7498,138150,371
LU2145465402,138151,371
LU1917777945,138152,371
LU0106235293,138153,371
LU0224508324,138154,371
LU0352132103,138155,371
LU0154236417,138156,371
LU0228659784,138157,371
LU0052767562,138158,371
LU0011850046,138159,371
LU0359201612,138160,371
LU0348825331,138161,371
LU0792756115,138162,371
LU1004132566,138163,371
LU1514167136,138165,371
LU0234570918,138166,371
LU0488056044,138167,371
LU0106259558,138168,371
LU1889097876,138169,371
LU1995616858,138170,371
LU1934455194,138171,371
IE00BZBXG372,138172,371
IE00B56MXK54,138173,371
LU0128522744,138174,371
IE00B11XZ541,138175,371
LU0539802446,138176,371
LU0128522157,138177,371
IE0032303764,138178,371
IE00BF076L85,138179,371
LU2055183474,138180,371
LU0468326631,138509,371
LU0757359954,138510,371
LU0784384876,138511,371
LU1133085917,138512,371
LU1003077663,138513,371
LU0905234141,138514,371
LU0987487419,138515,371
LU1563521951,138516,371
LU1127387386,138517,371
LU1127388434,138518,371
LU1127388517,138519,371
LU1564329115,138520,371
LU1706154686,138521,371
LU1733224965,138522,371
LU1564329545,138523,371
LU1097692237,138524,371
LU1097692153,138525,371
LU1075211430,138526,371
IE00BRJT7613,138527,371
IE00BRJT7944,138528,371
IE00BNNH3G56,138529,371
LU2272731600,138530,371
LU2322448791,138531,371
LU0633140727,138532,371
LU0683596356,138533,371
LU0683596430,138534,371
LU0633142186,138535,371
LU0384037296,138536,371
LU1311290685,138537,371
LU1282649570,138538,371
LU0820775616,138539,371
LU0820561818,138540,371
LU0820562030,138541,371
LU0820562386,138542,371
LU0913601281,138543,371
LU0170475585,138544,371
LU0234926953,138545,371
LU0274552982,138546,371
LU0229943369,138547,371
LU0252652382,138548,371
LU0053903380,138549,371
IE00B8K7V925,138550,371
IE00B8N0MW85,138551,371
IE00BF01VX72,138552,371
LU0992000496,138553,371
LU2015339539,138554,371
LU1995616775,138555,371
LU1995617070,138556,371
LU1995617310,138557,371
LU1995616932,138558,371
LU2055183557,138559,371
LU2055183805,138561,371
IE00B87L2R26,138562,371
IE00BQR9PJ58,138563,371
IE00BRJFZD22,138564,371
LU0095030564,138565,371
LU0539799634,138566,371
LU0689625878,138567,371
LU1737068558,138568,371
LU1514168027,138569,371
LU1514168530,138570,371
LU0128526901,138571,371
IE00B9KHJ624,138572,371
IE00B7F9FM77,138573,371
IE00B9NNHV84,138574,371
LU1806346737,138575,371
IE0000835953,138576,371
IE0033156484,138577,371
IE0032158457,138578,371
IE00B6TMN219,138579,371
IE00B7YBBB53,138580,371
LU0764618640,138581,371
LU0567554463,138582,371
LU0102830865,138583,371
LU0448041581,138584,371
LU0689626256,138585,371
LU1363153740,138586,371
LU1328247892,138587,371
LU1516272181,138588,371
LU1934327781,138589,371
LU1889097959,138590,371
IE00BF5GRC83,138591,371
IE00BDRTDD44,138592,371
IE00BG0D1X06,138593,371
LU0258954444,138594,371
LU1573120224,138595,371
LU0288029514,138596,371
LU0288029860,138597,371
LU1573120497,138598,371
IE00BK017F69,138599,371
IE00BK017D46,138600,371
IE00B8XCT900,138601,371
IE00BMMVVZ61,138602,371
IE00BMMVW089,138603,371
LU1740661167,138604,371
LU1846562483,138605,371
IE00B986J720,138606,371
IE00B986FT65,138607,371
IE00B986FR42,138608,371
LU0616879556,138609,371
IE00BD2ZKR05,138610,371
IE00BKHY2970,138611,371
LU0278470132,138612,371
LU1408528302,138613,371
LU0278457469,138614,371
